,advacc,epsilon
0,0.9079,0.0
1,0.7482,0.016666666666666666
2,0.5351,0.03333333333333333
3,0.3278,0.05
4,0.2113,0.06666666666666667
5,0.156,0.08333333333333333
6,0.1204,0.1
7,0.0921,0.11666666666666667
8,0.0751,0.13333333333333333
9,0.0633,0.15
