,advacc,epsilon
0,0.8993,0.0
1,0.8292,0.016666666666666666
2,0.7563,0.03333333333333333
3,0.675,0.05
4,0.5954,0.06666666666666667
5,0.5009,0.08333333333333333
6,0.4121,0.1
7,0.3344,0.11666666666666667
8,0.2807,0.13333333333333333
9,0.2391,0.15
