,advacc,epsilon
0,0.9096,0.0
1,0.7952,0.016666666666666666
2,0.6542,0.03333333333333333
3,0.4874,0.05
4,0.3255,0.06666666666666667
5,0.2353,0.08333333333333333
6,0.1778,0.1
7,0.1404,0.11666666666666667
8,0.1104,0.13333333333333333
9,0.0876,0.15
